lon,lat,j_per_k
33.6366767987,2.83046428241,1.35136961536
33.6242611672,2.76944441589,1.57800213879
33.6383735028,2.7891503164,1.20923379383
33.6613237701,2.51813067738,1.74576685148
31.9058913624,3.44754229523,0.695969293149
31.5927799964,2.94657193269,0.805656928041
31.6866578931,3.46128567323,0.881894092119
31.6463269904,3.26260573768,0.658074719896
33.2785967541,3.01649456209,1.24203649207
33.4350000357,3.26980121035,1.01180388027
33.237653979,2.62948176728,1.07882876901
33.1943285395,2.72338067438,1.1616764812
33.4561522656,2.19399361665,0.401574320657
33.4064159427,2.1359249149,0.453257613884
33.3580845901,2.10410938547,0.472126843269
33.0200029763,2.33083854106,0.376722758503
32.9386916358,1.77859250923,0.382962399873
32.7085608141,1.5534781263,0.308262725345
32.6904329428,1.58630606971,0.384418038828
32.5933074306,1.59455334916,0.339089998649
34.8240828818,2.10605289897,0.633238445832
34.8896305359,2.1698248896,0.683091843826
34.8959289423,2.03878361891,0.789201694538
34.7901090283,1.48290004172,0.807916266541
33.8628097839,1.93659957871,1.84481299634
33.7197166618,1.91917219213,2.05561533049
33.6775875491,1.89247711829,1.96209578629
33.8793370479,2.02239363069,1.43709614036
32.2396378484,3.26316450339,0.656573693528
32.020561217,2.89403646948,0.645008490321
31.9341973958,2.96524063998,0.573363269948
32.0297037016,2.98409333842,0.514746386075
32.4062297314,1.98580412088,0.237085967912
32.6242217523,2.11773606996,0.228527870345
32.4335532494,1.80072407847,0.241174970386
32.4454635698,1.96661519974,0.243013785663
31.1731515502,3.14670880781,0.443724261429
31.2948668386,3.11708803083,0.575967452521
31.1596354802,3.15860269052,0.529248419747
31.3614302861,2.78157486276,0.481738449836
34.0267219243,1.08196353109,0.75925039571
33.9570228631,1.00053482511,0.693904785222
34.0856647661,1.10636372192,0.604543313297
33.9823251914,1.12096996632,0.698001618635
34.455571502,1.0808730156,0.76220803607
34.4853733381,0.996652751858,0.813974577488
34.4509317032,1.08730121936,0.776159725679
34.4254423952,1.05916954783,0.792682460642
33.7512119801,0.716004427503,0.705222918775
33.7990296692,0.432022777144,0.706790969253
33.8838393156,0.575683298387,0.59608440999
33.7827867858,0.679812289199,0.667377338858
30.4362930924,-0.352080045029,1.53194602162
30.4559931542,-0.408871190892,1.31274185558
30.3284184873,-0.34272749048,1.50987406898
30.3358516321,-0.379556437566,1.40638827129
33.0265598872,0.48321294578,0.581479103692
33.0586191018,0.408220212844,0.725409708927
33.1876139286,0.363117221805,0.806994533133
33.0046011687,0.352558950537,0.97374722886
34.1267290268,1.4275934303,1.96330666534
34.2203996658,1.25922788059,1.6036222343
34.1016838367,1.48403116892,1.88223882708
34.0927862052,1.4645698728,1.9837703586
31.6670903943,-0.279754823847,0.955050068556
31.6793805128,-0.278348172407,1.01365129785
31.6386396658,-0.130926276418,1.23084936981
31.588594638,-0.0455652664053,1.14200091005
34.6449759732,1.30204838361,0.559497941936
34.5942976701,1.17797316831,0.480473131561
34.7494125552,1.322868436,0.545676799175
34.6426914268,1.33110027307,0.490261886284
34.2724884289,1.30142055928,0.924389274039
34.365011712,1.45975835822,0.933163887055
34.4880586525,1.23803432986,0.880778361907
34.3387963384,1.54396404339,0.958856592257
31.3894232231,1.80415117064,0.518409742761
31.5601906379,1.81103220168,0.57110267871
31.5344980752,1.82574419175,0.641053197562
31.4027516997,1.84631193184,0.485741898231
30.0536583134,0.529131266383,0.647894133553
30.0272555869,0.766210125011,0.859163617628
30.097847791,0.785619305532,0.791344743878
30.1215793774,0.685537900794,0.621744149072
30.1579739235,-0.386738842703,0.566924505267
